functionname,uppercase,lowercase
a,29,24
b,8,5
c,11,7
d,15,10
e,18,9
f,6,15
g,3,9
h,5,8
i,10,5
j,2,5
k,5,5
l,14,6
m,14,13
n,7,6
o,18,5
p,3,1
q,0,0
r,36,5
s,10,3
t,15,10
u,6,1
v,1,4
w,0,2
x,10,24
y,18,25
z,3,11
