varname,uppercase,lowercase
a,588,1946
b,263,3193
c,530,3548
d,340,918
e,217,122
f,115,335
g,110,973
h,54,258
i,112,27502
j,27,1835
k,31,506
l,136,752
m,46,934
n,95,1072
o,21,575
p,189,1254
q,147,105
r,163,847
s,73,424
t,79,4999
u,105,88
v,91,824
w,33,210
x,2183,16160
y,2134,12193
z,185,806
