varlength,projectid,percentage
1,2286,0.416071347
2,3083,0.561132093
3,17402,3.16731128
4,36982,6.731036993
5,26902,4.896391682
6,24724,4.499977249
7,22236,4.047140192
8,23844,4.339809801
9,42642,7.761204896
10,36545,6.651499295
11,50135,9.124994312
12,33956,6.180279383
13,34951,6.361377804
14,58743,10.69172317
15,26369,4.799381171
16,24290,4.420985576
17,14208,2.585976248
18,19324,3.517131547
19,15349,2.793647905
20+,10791,6.452928061
